faculty_id,name,department,preferred_building,preferred_room_type
FAC5001,Dr. Faculty_5001,CSE,Eastern Wing - AS Block,Classroom
FAC5002,Dr. Faculty_5002,CSE,Sunflower Block,Seminar
FAC5003,Dr. Faculty_5003,CSE,Western Wing - IB Block,Lab
FAC5004,Dr. Faculty_5004,CSE,Research park,Seminar
FAC5005,Dr. Faculty_5005,CSE,Learning Centre,Classroom
FAC5006,Dr. Faculty_5006,CSE,Research park,Lab
FAC5007,Dr. Faculty_5007,CSE,Mechanical Science Block,Classroom
FAC5008,Dr. Faculty_5008,CSE,Eastern Wing - AS Block,Seminar
FAC5009,Dr. Faculty_5009,CSE,Eastern Wing - AS Block,Seminar
FAC5010,Dr. Faculty_5010,CSE,Mechanical Science Block,Lab
FAC5011,Dr. Faculty_5011,CSE,Research park,Classroom
FAC5012,Dr. Faculty_5012,CSE,Mechanical Science Block,Classroom
FAC5013,Dr. Faculty_5013,CSE,Eastern Wing - AS Block,Classroom
FAC5014,Dr. Faculty_5014,CSE,Learning Centre,Classroom
FAC5015,Dr. Faculty_5015,CSE,Sunflower Block,Lab
FAC5016,Dr. Faculty_5016,AIML,Sunflower Block,Seminar
FAC5017,Dr. Faculty_5017,AIML,Sunflower Block,Lab
FAC5018,Dr. Faculty_5018,AIML,Mechanical Science Block,Seminar
FAC5019,Dr. Faculty_5019,AIML,Western Wing - IB Block,Classroom
FAC5020,Dr. Faculty_5020,AIML,Mechanical Science Block,Classroom
FAC5021,Dr. Faculty_5021,AIML,Research park,Seminar
FAC5022,Dr. Faculty_5022,AIML,Eastern Wing - AS Block,Lab
FAC5023,Dr. Faculty_5023,AIML,Mechanical Science Block,Seminar
FAC5024,Dr. Faculty_5024,AIML,Western Wing - IB Block,Classroom
FAC5025,Dr. Faculty_5025,AIML,Mechanical Science Block,Classroom
FAC5026,Dr. Faculty_5026,AIML,Sunflower Block,Lab
FAC5027,Dr. Faculty_5027,AIML,Western Wing - IB Block,Classroom
